s,10분전부산대강수량,현재부산대강수량,10분전신천교강수량,현재신천교강수량,현재세병교수위,30분뒤수위,날짜
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2015-05-29 19:10
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.09,2016-05-01 5:10
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2014-07-31 22:30
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,1,2014-12-13 22:00
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.03,2014-06-25 19:20
1.11,1.10784919,1.10582149,1.10402345,1.10249529,1.10121755,1.11,2014-05-16 22:40
1.25,1.24342365,1.23703215,1.23115395,1.22588275,1.22125425,1.24,2015-04-29 21:20
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.12,2015-04-02 6:30
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.97,2014-01-06 2:50
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.03,2015-11-04 1:20
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2014-10-06 12:30
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.95,2013-12-06 0:20
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.95,2013-11-06 1:00
1.1,1.10959425,1.1117854,1.10950625,1.107112,1.1045342,1.1,2014-07-19 23:10
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2014-07-18 2:30
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.07,2014-07-01 15:10
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2015-11-09 13:50
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.99,2015-01-21 22:30
1.11,1.10784919,1.10582149,1.10402345,1.10249529,1.10121755,1.18,2015-07-26 11:20
1.11,1.11098529,1.11177419,1.1134341,1.11741829,1.1212196,1.08,2014-02-08 1:20
1.14,1.13690086,1.13393806,1.1312657,1.12893546,1.1269397,1.14,2013-06-17 23:00
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.1,2014-05-09 8:20
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.1,2014-03-26 8:40
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.95,2014-12-13 5:30
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.98,2013-10-22 23:00
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.05,2014-06-24 18:50
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.04,2013-05-01 1:10
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.05,2015-07-16 18:10
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.95,2013-12-23 6:10
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.09,2015-03-15 21:20
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.99,2015-02-02 23:00
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,0.99,2013-02-22 4:50
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2015-06-28 16:00
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.05,2013-08-18 22:40
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.07,2015-06-24 12:30
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2013-04-01 18:40
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.95,2015-03-17 18:50
1.25,1.24342365,1.23703215,1.23115395,1.22588275,1.22125425,1.25,2014-08-27 19:00
1.17,1.16595253,1.16205463,1.15850795,1.15537563,1.15266185,1.17,2015-05-20 17:50
2.6,2.65195265,2.65466215,2.6424947,2.62604195,2.602763,2.55,2015-07-12 16:50
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2015-10-16 16:30
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2014-01-30 19:50
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.95,2015-01-04 18:40
1.2,1.1950042,1.1901712,1.1857502,1.1818158,1.178384,1.2,2015-04-12 7:20
0.93,0.93353917,0.93712207,0.94056995,0.94385427,0.94688465,0.93,2014-03-07 3:30
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.04,2015-08-07 23:10
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2015-08-09 3:10
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.99,2014-12-27 23:50
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2013-01-07 11:40
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2014-07-28 2:20
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2013-04-20 3:30
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.97,2013-12-17 3:30
